"","triToken","Ranking"
"725","full day of",622
"726","for the weekend",622
"727","for the show",622
"728","for the shoutout",622
"729","for the day",622
"730","for me i",622
"731","follow me please",622
"732","follow me back",622
"733","follow me and",622
"734","feel free to",622
"735","excited to see",622
"736","excited to be",622
"737","everyone has a",622
"738","every time i",622
"739","even know what",622
"740","dont understand how",622
"741","dont like my",622
"742","dont have a",622
"743","dont feel like",622
"744","do i have",622
"745","do i get",622
"746","day i love",622
"747","day at the",622
"748","could be a",622
"749","congratulations on your",622
"750","coming back to",622
"751","come out to",622
"752","come out and",622
"753","come in today",622
"754","cant wait till",622
"755","cant wait til",622
"756","but it was",622
"757","but i just",622
"758","but i dont",622
"759","being able to",622
"760","been working on",622
"761","be sure to",622
"762","be interested in",622
"763","be in a",622
"764","back to work",622
"765","back on the",622
"766","at the new",622
"767","at the end",622
"768","are you still",622
"769","are the best",622
"770","and this is",622
"771","and i was",622
"772","and i want",622
"773","and i love",622
"774","and i know",622
"775","and i am",622
"776","and all the",622
"777","all of you",622
"778","all of us",622
"779","all of my",622
"780","about to go",622
"781","about to get",622
"782","a trip to",622
"783","a picture of",622
"784","a pic of",622
"785","a long time",622
"786","a little more",622
"787","a little bit",622
"788","a huge fan",622
"789","a happy birthday",622
"790","a guy who",622
"791","a great week",622
"792","a great night",622
"793","a good thing",622
"794","a few minutes",622
"795","a few days",622
"796","a bunch of",622
"797","a bit of",622
"798","you would like",1154
"799","you will be",1154
"800","you want a",1154
"801","you think i",1154
"802","you thanks for",1154
"803","you still have",1154
"804","you should be",1154
"805","you send me",1154
"806","you realize that",1154
"807","you read the",1154
"808","you my friend",1154
"809","you must be",1154
"810","you look like",1154
"811","you like the",1154
"812","you let me",1154
"813","you know that",1154
"814","you i will",1154
"815","you i miss",1154
"816","you i hope",1154
"817","you have no",1154
"818","you guys have",1154
"819","you grow up",1154
"820","you got that",1154
"821","you go to",1154
"822","you dont think",1154
"823","you do not",1154
"824","you didnt get",1154
"825","you coming to",1154
"826","you check out",1154
"827","you been to",1154
"828","you as well",1154
"829","you are you",1154
"830","you are too",1154
"831","you are really",1154
"832","you are looking",1154
"833","you and this",1154
"834","you and i",1154
"835","you all the",1154
"836","yet but i",1154
"837","yes but i",1154
"838","years ago today",1154
"839","yeah i was",1154
"840","would you be",1154
"841","would make me",1154
"842","work on getting",1154
"843","word on the",1154
"844","with the new",1154
"845","with my mom",1154
"846","with all the",1154
"847","win is a",1154
"848","will love it",1154
"849","will have to",1154
"850","will get a",1154
"851","will follow u",1154
"852","will be at",1154
"853","why is there",1154
"854","why am i",1154
"855","whos going to",1154
"856","who the fuck",1154
"857","where it is",1154
"858","where have you",1154
"859","where can i",1154
"860","when you are",1154
"861","when u stop",1154
